Hash,Size,Stripped,N_Symbols,Complexity,cpu_type,file_type
1233cb5d70185ae02c50ea62e42c16f6,1592800.0,True,382.0,37.0,x86_64,application/x-mach-binary
4b2504f0e91983026244e2c7611580ae,5587444.0,True,123.0,0.0,x86_64,application/x-mach-binary
f0885f464fb452b0f281b4ca3dce34a4,447312.0,True,587.0,18.0,arm_64,application/x-mach-binary
99a65c453344718857043c0c643ae793,6477948.0,True,152.0,0.0,x86_64,application/x-mach-binary
2c4ce62d210998ca4ec963fd19d2ae5c,444000.0,True,102.0,4.0,x86_64,application/x-mach-binary
1cfb6b85494cf54ca2c05621e941a6c8,14904480.0,True,105.0,0.0,x86_64,application/x-mach-binary
e947ebedfb04fc3d79721c68d6eb728b,41983.0,True,94.0,5.0,x86_64,application/x-mach-binary
3e1ee3ce22d17f8dc46e63d3f2dc5926,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
433cc65d76bca4aa739680ff424f3109,358320.0,False,313.0,24.0,x86_64,application/x-mach-binary
618e1fa33a386c4fd11b739e8646bf53,203676.0,True,98.0,88.0,x86_64,application/x-mach-binary
ef5a822c083e7d52ad2b01a71a53ee56,6377156.0,True,97.0,0.0,x86_64,application/x-mach-binary
b4a75721512523e94aed1fa286cd3e49,41564.0,False,69.0,1.0,x86_64,application/x-mach-binary
f0abd12de0e1430fc2ceb8a53ab47bf4,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
d7c9d79d5187ccbc0d4f36b9183fb6fd,5464080.0,True,0.0,3.0,x86_64,application/x-mach-binary
d77f7ba012d1b3c9c1eb6ec8a9ac5541,428888.0,False,245.0,2.0,x86_64,application/x-mach-binary
5a5de73a753b2e69006dcfc16490c879,3326880.0,True,351.0,176.0,x86_64,application/x-mach-binary
57bd0e973797bff9d6c6d6c1310b4ddc,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
5a5b9391f2f1781644e9aeebf08b162a,8975154.0,False,183.0,0.0,arm_64,application/x-mach-binary
2c56aab57177990237efca08a118ef53,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
bcafb13855a599b8093604c856239e47,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
5adfebba383c746506e8fee83939d148,75120.0,True,80.0,1.0,x86_64 arm_64,application/x-mach-binary
9b6a1300a1d8532f65b84d4886756071,3147396.0,True,356.0,13.0,x86_64,application/x-mach-binary
713f98f50595e4403d2c95949ba10516,490112.0,False,232.0,2.0,x86_64,application/x-mach-binary
3641d8088f2e4743d9660a99a7eb2800,2690496.0,True,162.0,1.0,x86_64,application/x-mach-binary
450dec1db94acd88801e816bdcfb1da4,27110632.0,True,394.0,1.0,x86_64,application/x-mach-binary
77874a76136f4149d6c64fc794d55127,201472.0,True,138.0,4.0,x86_64,application/x-mach-binary
27310385a62affb87623e2902cf87b65,444096.0,True,390.0,25.0,x86_64,application/x-mach-binary
36e4768eb5f913ed83031a76286a9174,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
24babface547407f7df34372751f7a29,203676.0,True,98.0,88.0,x86_64,application/x-mach-binary
0adeba535b2e7996f63c34a7aaa36ee5,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
d94ef3d1276fc871241db04c50ef5d4e,187648.0,True,228.0,1.0,x86_64,application/x-mach-binary
b81ddd39c4bd940cf0b2974fd0ddd508,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
7b171e921f4cc0d6360bcdec049f84f7,732920.0,True,335.0,59.0,x86_64,application/x-mach-binary
8db52351c37fb88c64ac96bfe4611b26,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
c65588a6948a38e4ecc96666a0999f77,124384.0,True,159.0,6.0,x86_64 arm_64,application/x-mach-binary
c3781e5f1d330f0a61aa8dc02ebb1d44,269232.0,True,206.0,1.0,x86_64,application/x-mach-binary
951063036d3abbf5200eafb10494f155,336568.0,True,384.0,25.0,x86_64,application/x-mach-binary
2fd00b06198f1e35980b2c43965e1f5b,506608.0,False,232.0,2.0,x86_64,application/x-mach-binary
b320a8fe672965c30744315eaa230cd3,186553.0,True,0.0,50.0,x86_64,application/x-mach-binary
0b2598077fff63b79cb490b3f692baf4,3425632.0,True,79.0,0.0,x86_64,application/x-mach-binary
420408d60e265c646a54fb7f7b367e3f,27080.0,True,47.0,2.0,x86_32,application/x-mach-binary
faf151f11ed3b5330a22e83e51478852,139680.0,True,136.0,4.0,x86_64 arm_64,application/x-mach-binary
f04b50dc6d163ee9aeea07830912f05b,201472.0,True,138.0,4.0,x86_64 arm_64,application/x-mach-binary
ef4455590b3c7dace09131f233a364d9,172792.0,True,0.0,50.0,x86_64,application/x-mach-binary
a86ecd3b68c69b2a4ee578df5cee14c0,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
20e4beb98bcde5d36cb0094bfaeca5aa,345248.0,True,390.0,25.0,x86_64,application/x-mach-binary
28d64130f75499b66613f1657ac22b3c,58740.0,False,64.0,2.0,x86_64,application/x-mach-binary
c06b036e4800c851e46119f343715de0,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
fb0bb64be9c8e54e24de33a741d28024,304812.0,True,323.0,122.0,x86_64,application/x-mach-binary
3a640391957c62c83281e0cd50512d73,7072704.0,False,620.0,1.0,x86_64,application/x-mach-binary
0065ba8d6bda31ac85506f9f28568c0a,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
7520abf9734f5c3f69362c74b907bc65,7092308.0,True,137.0,0.0,x86_64,application/x-mach-binary
75364ba904ce8910fcc89774c2154dff,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
0d41022969162749cc8daf5fc208c15f,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
957b231af99edb1d75826e49d49be7a2,59264.0,True,95.0,1.0,x86_64,application/x-mach-binary
4a33d1fbd6c741e91349a48bae6db9e5,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
c8061c215dc0ea5db3b42abb906258f7,2148144.0,False,303.0,2.0,x86_64,application/x-mach-binary
eddf08d941a7ec3287cc51a88e3ed705,1686512.0,False,251.0,2.0,x86_64,application/x-mach-binary
0e5b8986c84da57d14bc0e155cb99e72,737016.0,True,335.0,59.0,x86_64,application/x-mach-binary
97abb8c423b4fd3081778bfaa61b8e39,166672.0,True,176.0,1.0,x86_64,application/x-mach-binary
7160301c82164e7eddeb272da77b7c37,2690496.0,True,162.0,1.0,x86_64,application/x-mach-binary
2cf2c5fcd0053d26dce884efd66ede43,3765200.0,True,353.0,285.0,x86_64,application/x-mach-binary
5edde1f49d5c83266a362ca9f2990b3b,49152.0,True,81.0,2.0,ppc_32 x86_32,application/x-mach-binary
efc43ddcf363a8e05d7a6bb9152e525a,148352.0,True,138.0,4.0,x86_64 arm_64,application/x-mach-binary
ac3f1b7e465e8ebbc6aad5c877a6f60f,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
dcb44d76e1f2d05ccad035462ae0efee,7906364.0,False,1519.0,2.0,x86_64,application/x-mach-binary
b64098a864f075e4aafce506c13e19a1,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
619d816217b20fc858038418c7c11cdf,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
560efb0c77c14e598705280fbf6be53f,123760.0,True,209.0,242.0,x86_64,application/x-mach-binary
0d20321e7b33f385f1ebe02d67fa6868,8516732.0,False,474.0,11.0,x86_64,application/x-mach-binary
1ed7af5cf5d08f13385c1c2f9519c67f,1584608.0,True,382.0,37.0,x86_64,application/x-mach-binary
e147c6fafd2f0d959eee8917fe8ea375,207772.0,True,98.0,88.0,x86_64,application/x-mach-binary
1584ed0f1194dd17fa492791216bd44e,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
c8bc53ac28429b2dae5c8b92930d22ea,52144.0,True,3.0,1.0,x86_64,application/x-mach-binary
8c83df2c37e22545147cd5d46f4af51d,231520.0,True,207.0,1.0,x86_64,application/x-mach-binary
9980d1e4b1967ce4ff87b3d289d8d5b4,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
528d38fa8c226e0709e234cde2a3efa3,1564616.0,True,388.0,37.0,x86_64,application/x-mach-binary
44aff41c968398a7f26293dfd6debf6f,1600992.0,True,382.0,37.0,x86_64,application/x-mach-binary
21d1e5251ad04ec702dac93c0ed4c4dc,2690496.0,True,162.0,1.0,x86_64,application/x-mach-binary
0f72bdb8e96a8d16fd42669d58e01e07,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
cebc391b1a971958b883b7a8f8a7ed3f,16568.0,True,3.0,72.0,x86_64,application/x-mach-binary
3c8231e1919aea0e1007b5f44b095a27,36688.0,False,19.0,2.0,x86_64,application/x-mach-binary
53571bb48f7e5dbf43d969e7fc813d9c,3655172.0,True,273.0,211.0,x86_64,application/x-mach-binary
855d9333dcacaffbf82f74f24c46bdd3,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
c4edd6e8315828ca4b0aea954692ba43,737016.0,True,335.0,59.0,x86_64,application/x-mach-binary
0e393a7fbd97e0e1fd4a450dedb5f274,836668.0,True,351.0,142.0,x86_64,application/x-mach-binary
e5583e41c3eef59c1689d7aef1145857,27076.0,True,47.0,2.0,x86_32,application/x-mach-binary
4c2fe6d581faabcc335db2736de9e29d,171392.0,True,259.0,110.0,x86_64,application/x-mach-binary
77be1987825689b2e39a29505c3c39c7,1417536.0,True,269.0,1.0,x86_64,application/x-mach-binary
ea996fa4ce551671dc0faa462b5dbfb2,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
0dbf395aaa6e80d62d9ce0337d35a690,8857380.0,True,325.0,123.0,x86_64,application/x-mach-binary
84020768e64e227450dd4bf7d465208e,7947628.0,True,271.0,217.0,x86_64,application/x-mach-binary
e5891f88146581d493292bb4df7b3a00,24384.0,True,18.0,2.0,x86_64 x86_32 ppc_32,application/x-mach-binary
88edbc2789ab32dcc0152a16607388d4,109324.0,True,202.0,129.0,x86_64,application/x-mach-binary
a82acb41a08429247e37ebb9886de476,5886288.0,True,126.0,0.0,x86_64,application/x-mach-binary
5dc3dab3c07832c324c80db0cdb0180c,207772.0,True,98.0,88.0,x86_64,application/x-mach-binary
4ed19b3064c2bf2b4c195716e858f521,762848.0,True,485.0,33.0,x86_64,application/x-mach-binary
0cc35b4fae13e17daf0c8ef43aea2fc4,133904.0,True,220.0,4.0,x86_64,application/x-mach-binary
6c2214f7a50adc9bd6e73f6a91dd9b1f,59264.0,True,95.0,1.0,x86_64,application/x-mach-binary
428874d7476d67821d59bbdc11a4e826,737008.0,True,335.0,59.0,x86_64,application/x-mach-binary
bc01e7e781f74c25b1824a85d39322f3,1417536.0,True,269.0,1.0,x86_64,application/x-mach-binary
07a0f7e824a96b3166f088ca7ee305ae,84824.0,True,45.0,25.0,x86_64,application/x-mach-binary
79b41c71b903d20ab1e2249fdcd59426,9403088.0,False,320.0,1.0,x86_64,application/x-mach-binary
71a39cebb2584a5467d76d9bb4cf90e1,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
51cd20d47c7fff1e01163a6e3bf8938b,497328.0,True,360.0,44.0,x86_64,application/x-mach-binary
fa796a14a1fee3eefdfbbfe6d15817d2,2681456.0,True,162.0,1.0,x86_64,application/x-mach-binary
ddc6f33b5bdf275781bba11d6c80dc16,52144.0,True,3.0,1.0,x86_64,application/x-mach-binary
61c4b2ba00d6ce57c6c2afffd72dcbff,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
615e6b4b4c25a649cc59b8742a6bee45,3240264.0,True,394.0,149.0,x86_64,application/x-mach-binary
763ce820ce634fd58c0f81e0589cb181,1646536.0,True,388.0,37.0,x86_64,application/x-mach-binary
12ad03754b5bb48eaa99d77c176ffaec,1572808.0,True,388.0,37.0,x86_64,application/x-mach-binary
cda08381304bed61391b1acc3f06f566,201472.0,True,138.0,4.0,x86_64 arm_64,application/x-mach-binary
20d1f6a77a67677acf3f721f751c6f28,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
82702fd323b1b1c945ae2faf70a02811,33408.0,True,17.0,6.0,x86_64,application/x-mach-binary
bad3a0b6a30173cabe9c52033c758636,1642440.0,True,388.0,37.0,x86_64,application/x-mach-binary
7f08a5e8f4cda188b983865f766ac797,10094776.0,False,2293.0,1.0,x86_64,application/x-mach-binary
1fc908c9f4ed2c5cd3c22c8ff036e2bf,33056.0,True,3.0,1.0,x86_64,application/x-mach-binary
955c711fae64ef7630273ac322769108,16079920.0,True,517.0,3.0,x86_64,application/x-mach-binary
f8fdfb1d21eaebaeaa117b041d42447a,389552.0,False,186.0,21.0,x86_64,application/x-mach-binary
d4fdedf654080ef8b73bbf19687e2a7c,159492.0,True,51.0,1.0,x86_64,application/x-mach-binary
