Command,Count,% Over total
/Users/maria/Desktop/palera1n,2,0.01%
/usr/bin/perl,2,0.01%
/Users/maria/Desktop/todist-macos,2,0.01%
/usr/bin/du,2,0.01%
/Users/maria/Desktop/GoodNotes,2,0.01%
/Users/user1/Library/WifiPreference/wifianalyticsagent,2,0.01%
/Users/bruno/Desktop/Rabby,2,0.01%
php,2,0.01%
/Users/maria/Desktop/WildWorld,2,0.01%
/Users/bruno/Desktop/binary,2,0.01%
/Users/user1/Desktop/angst,2,0.01%
/bin/sleep,2,0.01%
/Users/test/Desktop/Installer,2,0.01%
/Users/maria/Desktop/FigmaApp,2,0.01%
/Users/maria/Desktop/verusd,2,0.01%
/Users/maria/Desktop/gaster,2,0.01%
/Users/user1/Desktop/MBHelpToolerDaemon,2,0.01%
/Users/user1/Desktop/db1000n,2,0.01%
/Users/maria/Desktop/BitbucketInstall,2,0.01%
sh -c /Volumes/Adobe*/Adobe\,2,0.01%
/Users/bruno/Desktop/Apple_App_v1_23,2,0.01%
/Users/maria/Desktop/scanner,2,0.01%
/Users/maria/Desktop/fseventsd,2,0.01%
/Users/root/.applications_config,2,0.01%
/Users/maria/Desktop/Apple_App_v1_23,2,0.01%
/Users/user1/Desktop/bin/java,2,0.01%
/Users/maria/Desktop/VorionSetup,2,0.01%
[kauditd],2,0.01%
/Users/maria/Desktop/NortexApp,2,0.01%
/Users/maria/Desktop/Gallery,2,0.01%
/Users/user1/Desktop/pwnd.macho,2,0.01%
/Users/maria/Desktop/ArcInstall,2,0.01%
/Users/bruno/Desktop/riesling,2,0.01%
/Users/maria/Desktop/9729277827,2,0.01%
/Users/maria/Desktop/Contents/MacOS/BitRaserFileEraser.app/Contents/MacOS/BitRaserFileEraser,2,0.01%
/Users/maria/Desktop/milla.macho,2,0.01%
/Users/maria/Desktop/test.macho,2,0.01%
/Users/bruno/Desktop/NightVerse,2,0.01%
/Users/maria/Desktop/app_assistant,2,0.01%
/Users/bruno/Desktop/VDeckSetup,2,0.01%
/Users/user1/Desktop/file.bin,2,0.01%
/Users/user1/Desktop/config,2,0.01%
sh osascript -e,2,0.01%
/Users/maria/Desktop/mac.installer,2,0.01%
/Users/bruno/Desktop/TodoistInstaller,2,0.01%
/Users/user1/Desktop/t_cc2.out,2,0.01%
/Users/user1/Desktop/main,2,0.01%
/Users/user1/Desktop/payload.exe,2,0.01%
/Users/maria/Desktop/Notion321universal,2,0.01%
/Users/bruno/Desktop/Notion321universal,2,0.01%
/Users/maria/Desktop/KMA_helper,2,0.01%
/Users/maria/Desktop/clash-darwin,2,0.01%
/usr/libexec/od_user_homes,2,0.01%
/Users/maria/Desktop/appkernel,2,0.01%
/Users/maria/Desktop/a094a0b60b89f54f5726d04a4bd22676cc3da41e3fd92e83df887608c84f,2,0.01%
/Users/maria/Desktop/ChatGPT,2,0.01%
/Users/maria/Desktop/TodoistInstaller,2,0.01%
/Users/user1/Desktop/KMA,2,0.01%
/Users/maria/Desktop/NightVerseSetup,2,0.01%
/Users/bruno/Desktop/StaticLibraryMacApp,2,0.01%
/Users/maria/Desktop/Brew,2,0.01%
/Users/maria/Desktop/BraveApp,2,0.01%
kill,2,0.01%
sh -c VTOB='$(ioreg,2,0.01%
~/Library/pzkgZA58iN3S92VbNlOe6TrtVm2wwz,2,0.01%
sh -c /bin/bash,2,0.01%
/Users/bruno/Desktop/NightVerseSetup,2,0.01%
/Users/maria/Desktop/608235181.txt,1,0.00%
/Users/maria/Desktop/Lrg5qnrMi4,1,0.00%
/Users/maria/Desktop/J6XCdElNmt,1,0.00%
/Users/maria/Desktop/TfouUoD0U6,1,0.00%
/Users/maria/Desktop/cd937c7f6ef32f794b2af6361bc3827b420a7f9d39f28296e97532896d5c,1,0.00%
/Users/maria/Desktop/b3FcuOqPRY,1,0.00%
/Users/user1/Desktop/469PVZkRXh,1,0.00%
/Users/maria/Desktop/3218943da955f2f487f5d13a1bd25fd63b6af2cc08a5a0cfde4176702bdc,1,0.00%
/Users/maria/Desktop/eb24398a2d93f1258f678819b403713f905c7c1af25b931f086377a913a6,1,0.00%
/Users/maria/Desktop/SvHkDcZIns,1,0.00%
/Users/maria/Desktop/05lQidhJnD,1,0.00%
/Users/maria/Desktop/627481031.txt,1,0.00%
/Users/maria/Desktop/a77186d626e747c70d433b263c0c5eb1eff4d8a55eb8ca99fb14033fafd4,1,0.00%
/Users/maria/Desktop/w0zuhktz,1,0.00%
/Users/maria/Desktop/9cab655aee867b0eb1e8b4cc47b037568670703dc5ace6acdbce710adbdc,1,0.00%
/Users/maria/Desktop/oPNCjkqvam,1,0.00%
/Users/maria/Desktop/OPL3ZmF5OZ,1,0.00%
/Users/maria/Desktop/004ce032a700f71dce3722c8a14313503ec287de61acafc06d41b1b1f772,1,0.00%
/Users/maria/Desktop/Xuxbzrl3xs,1,0.00%
/Users/maria/Desktop/EujlIaY39P,1,0.00%
/Users/maria/Desktop/631148613.txt,1,0.00%
/Users/maria/Desktop/RIzd3VIOoV,1,0.00%
/Users/user1/Desktop/6b1cb781eae09abaf433b7d6201d3139d86a8b4515aebc24758dd785d971,1,0.00%
/Users/maria/Desktop/8be4b38787cf63dd3914966d0f1b5bd2e2049e00ffe2de081ead7baf44a2,1,0.00%
/Users/maria/Desktop/631687831.txt,1,0.00%
/Users/maria/Desktop/d28d0df6ee8b9e4a3c7744df58b77ed2eb1e990604e416ec2410bc34d8f4,1,0.00%
/Users/maria/Desktop/PRobYWnEzW,1,0.00%
/Users/user1/Desktop/StPaXetEHE,1,0.00%
/Users/maria/Desktop/sDCMy3895T,1,0.00%
/usr/sbin/pkgutil,1,0.00%
/Users/maria/Desktop/MHhpXetS2v,1,0.00%
/Users/maria/Desktop/ruabvxz9,1,0.00%
/Users/root/Library/WifiPreference/wifianalyticsagent,1,0.00%
/Users/user1/Desktop/WifiAnalyticsServ,1,0.00%
/Users/maria/Desktop/4b58015f1a7387c3535ebf57b67ebe454e68acf688652472569930e0846f,1,0.00%
/Users/maria/Desktop/EhkiLq8Uj2,1,0.00%
/Users/maria/Desktop/LoomInstall,1,0.00%
/Users/maria/Desktop/v5i7tk0Jid,1,0.00%
/Users/maria/Desktop/EIac9Nh1Qm,1,0.00%
/Users/maria/Desktop/qPBKd3Oo1z,1,0.00%
