Hash,Avg_Entropy,Packed
47f0829559de90a4acc4d09b42371bf9,5.542953368727232,not packed
46385f4281822e868122a9f9d8b7458f,6.110398193094539,not packed
4411829b3a2689d52bb268d580fa4609,4.663514344534572,not packed
415681072be4652d4025e768340b5351,5.50836822098495,not packed
34d5eb10210868b2e8de110a48b1457e,6.943293372303375,packed
319a73b033b0e0b5fd121a8382853743,6.211197717373019,not packed
300fbcc2778664aaa698a88d1726846e,5.9984149403731895,not packed
2fb17ec156e75a0d6658210c505b8691,6.945477631099071,packed
2e1b3add52363020ee61645ca9e7221c,6.147747724518908,not packed
2d5af8b288a9ceb0b5b072492393abac,6.797094524929051,packed
2d56c0fc52f844ca5e1801f5e48416e8,5.045687842321943,not packed
2cb4755a8748f34c32e66966fe091ddd,6.263660820286069,not packed
2c30f9e71a9601a98095f30afb5a8f43,6.266429919481123,not packed
2c0af7614c84926a3ee0b3b0d317dde2,6.036801721557994,not packed
2b45a8a44a955c5889a4c1f35588348a,6.6579588490269375,packed
286969377be4fdbdd958fdf0dfe5a4cb,5.396074805948804,not packed
27d26530ad4c6ae34078366068f821aa,6.28613675455159,not packed
2274459df8dfe4d43517b51e1a988187,6.945618294347744,packed
21b7040fc9e5a4339533bbd414eeac34,6.150692674824391,not packed
204c627029a5dd2af5eaa626b51d89a6,5.956328334137268,not packed
1f6da5b827d1d6be50befa97b37f9a6e,6.651982792848281,packed
1efd762364f932468ffcac9228f444a5,4.516010599084966,not packed
1cc19d349492260ec7f0a24f6ea5bf29,5.401711268546459,not packed
1b4fbed4fe173b67aeadf53c799f1e3e,6.243849257459937,not packed
1a794cbfc43a758b3c0da0d81ae0ed76,5.908477790282639,not packed
189242cdfe3d2c97bed7d6252ca5664b,5.688768632203562,not packed
1890dd1c0c78512c0c80db74bb68eecd,5.0400526588639405,not packed
170bb42f58681c4db057cb3c83f2a0eb,5.447563653378557,not packed
1414acf4a59cc4888f269c38325a6cc9,6.195431882497112,not packed
139226a76fc31442c22ec4753dca1509,6.243092898540774,not packed
113af4bbc1c99f7d36d2821054a06a62,5.073626672232695,not packed
100818852d953b5f1091a83f85c285a5,5.57741274538438,not packed
0e6704d45ebb640afe1257a8c36a9474,7.506429956163975,packed
0b626c79ed074ed77e9c2c403d085b87,6.284692521514988,not packed
0a351f05186f49fc9ed68fc19e370d33,5.968899971115027,not packed
0596f96c0b0b0961b4b125a87e6784ea,6.270487724433965,not packed
0547c8f248750c0355da3f88a664f0e4,5.366425239288739,not packed
00bf732c31670ee05e6c8c478b135aed,6.086741402422223,not packed
003a39624a728a16f7c4a7a1e6b99936,6.688186987240004,packed
fe204c53fc56be9f15ebcf0fcee15264,6.707745345749379,packed
ef2f4ec7ae1adb5e0597e28a530ed215,5.998306387116691,not packed
e95b9340c92e0983053d0beb0a2554ba,6.232499910398787,not packed
e78230e4b8143783fd9c2851e94c9570,6.026332780874432,not packed
